prompts,feelings
i feel miserable and he doesnt care,"Irritability, Frustration, Disappointment"
i am not surprised cause its like ok when you feel crappy and it just continues for like days or so you really try to avoid getting that sickness again,"Productivity, Satisfaction, Pride"
im feeling slightly irritable today,"Rush, Stress, Disappointment"
i like to add things that i already completed in my day to a new list just to feel more productive when i cross them off,"Contentment, Serenity, Satisfaction"
i always feel rushed during these emails which i dont like but asa este,"Impressed, Pride, Joy"
i feel like now its more of sweet apple now,"Support, Uncertainty, Concern"
i was so impressed with the show especially for hs and i was moved by these talented kids but then again i feel very passionate about productions and music and theatre in schools so i am always happy to endorse many hs productions throughout their seasons during this time,"Overwhelm, Stress, Anxiety"
i feel like i should be supporting them somehow but im not sure how,"Frustration, Anger, Overwhelm"
i have a lot going on in my life and feel overwhelmed,"Burden, Sadness, Overwhelm"
i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,"Agitation, Frustration, Stress"
i also know what it feels like to be in a relationship where you feel like a burden and too much and not worth loving or pursuing and its just,"Pressure, Anxiety, Stress"
i know what you mean about feeling agitated,"Sociability, Frustration, Excitement"
i am feeling pressured to blog the bad,"Satisfaction, Contentment, Relief"
i feel like being sociable and just aaaah,"Insecurity, Stress, Anxiety"
i didnt feel at all deprived having it in my chai this morning,"Invigorated, Euphoria, Joy"
i was feeling very unsure of myself and at near breaking point,"Hate, Sadness, Isolation"
i remember leaving church feeling invigorated every sunday and tuesday night,"Jealousy, Curiosity, Interest"
i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,"Support, Pride, Duty"
i asked her what she meant by shes gonna feel jealous having loada of girls over me and then she said maybee i do like you a bitt,"Confusion, Amusement, Surprise"
i feel that i am supporting the troops by demanding that we not send our young men and women into harm s way to bear arms against a country that has done nothing to threaten us at any point,"Crampy, Irritable, Discomfort"
i feel all funny sometimes,"Overwhelm, Stress, Responsibility"
i am feeling crampy and cranky,"Embarrassment, Indifference, Amusement"
i indicated then i was feeling quite overwhelmed with work responsibilities teaching traveling and writing,"Disappointment, Self-criticism, Sadness"
i just say that i am not even feeling embarrassed when i pause and rewind my dvred commercials if the breaking dawn preview comes on,"Calm, Serenity, Spiritual"
i spend a lot of time feeling disappointed with myself for not doing a better job at attaining my goals,"Disappointment, Frustration, Anxiety"
i feel stressed but i love the feeling of the calming spirit of my heavenly father and the feeling to keep working,"Hope, Relief, Improvement"
i feel more thankful being greeted by many friends and families,"Regret, Sadness, Frustration"
i no longer feel doomed to falling into the abyss with no way out,"Accepted, Relief, Contentment"
i bought it at urban outfitters so it could fit mm film and have been feeling remorseful ever since,"Remorse, Sadness, Regret"
i just can t feel accepted,"Loneliness, Insecurity, Sadness"
ive a feeling briar beagle would give me one of her disgusted looks if i even tried exercising her in these souless surroundings,"Disgust, Frustration, Pity"
i just need to accept to be treated like a princess everyday without feeling dumb about the situation,"Acceptance, Confidence, Optimism"
i just got up from a nap feeling really rotten so exhausted that i feel like i could just wilt onto the floor just sitting here,"Exhaustion, Despair, Overwhelm"
i feel very indecisive about it,"Indecision, Anxiety, Confusion"
i feel if the pressure vessel has been seriously damaged then far more radiation would have leaked he said,"Concern, Fear, Anxiety"
i have better things to do than to feel humiliated,"Confidence, Prioritization, Disinterest"
i feel check the wonder in all that you see you ve got to get loving unconditionally,"Love, Gratitude, Joy"
ive been feeling a bit melancholy,"Melancholy, Sadness, Reflection"
i believe that feeling accepted in a non judgemental way can be healing,"Healing, Optimism, Compassion"
i do feel stressed,"Stress, Anxiety, Overwhelm"
i feel benevolent enough to buy them some peanuts and other treats,"Generosity, Joy, Gratitude"
i feel fine class pin it button count layout horizontal pin it,"Contentment, Serenity, Satisfaction"
i feel so worthless and useless these past weeks just because im a certified by stander at home,"Worthlessness, Sadness, Despair"
i feel immensely distracted by the barrage of media i receive solicit,"Distraction, Overwhelm, Anxiety"
ive been feeling from my adoring fans that would be teh whole like of you who are my friends here i felt brave and excited and ventrured forth with guitar in hand to a local open mic night,"Courage, Excitement, Hopefulness"
i love and captured an atmospheric feeling in their landscapes that really impressed me,"Admiration, Inspiration, Joy"
is hand started fondling his aching cock through the fabric of his boxers and he instinctively arched his back to feel more of the delicious sensation,"Desire, Anticipation, Excitement"
i am feeling energized productive and creative,"Energized, Creativity, Productivity"
i am feeling lucky to have him,"Gratitude, Luck, Joy"
i feel is vital to keeping my spirit young even as my body fades,"Optimism, Youthfulness, Determination"
i feel agitated and annoyed more than worried or fearful but these feelings can easily lead to being short tempered with my family and feelings of disharmony,"Frustration, Irritability, Stress"
i still feel scared every time i go into a strange place,"Fear, Anxiety, Caution"
i don t feel the author s talented,"Criticism, Disappointment, Indifference"
i feel so jaded and bored,"Boredom, Disinterest, Apathy"
im pretty sure and its been about a week and a half so although im feeling kind of betrayed and disillusioned by men at the moment everythings okay,"Betrayal, Disillusionment, Sadness"
i feel like ive lost my mind,"Confusion, Anxiety, Fear"
i could feel his breath on me and smell the sweet scent of him,"Desire, Attraction, Anticipation"
i could just take my beliefs and feelings and lock them in a safe somewhere until i get my human life squared away i and just about everyone i know would be a lot happier or perhaps not,"Safety, Happiness, Contemplation"
